dataname,hidden
Config_AdminFolderName,Y
Config_AdminImagesFolder,Y
Config_AdminVersion,Y
Config_AffiliateMinimumCheck,Y
Config_AffiliateTrackDays,Y
Config_AlwaysDisplayDifferentShipToAddressFields,Y
Config_Auto_Survey_Email_Enabled,Y
Config_Auto_Survey_Email_Send_X_Days_After_Shipment,Y
Config_BasedInUS,Y
Config_Block_All_IP_Addresses_To_Admin,Y
Config_BounceEmailAddress,Y
Config_CanonicalLink_HomePage_FullURL,Y
Config_CanonicalLinks_Enable,Y
Config_CategoryImageSize,Y
Config_CategoryImageSize_Axis,Y
Config_CategoryImageSizeT,Y
Config_CategoryImageSizeT_Axis,Y
Config_CharacterSet,Y
Config_CloseAdminarea_ForMaintenance,Y
Config_CodePage,Y
Config_CompanyAddress,Y
Config_CompanyNameLegal,Y
Config_CompanyNameShort,Y
Config_ContinueShoppingPage,Y
Config_Credit_Card_Issue_Date_SideNotes,Y
Config_Credit_Card_Issue_Number_SideNotes,Y
Config_CurrentAdminSeed,Y
Config_CurrentMobileCheckoutBaseThemePath,Y
Config_CurrentMobileCheckoutThemePath,Y
Config_CurrentMobileStorefrontBaseThemePath,Y
Config_CurrentMobileStorefrontThemePath,Y
Config_CustomField1_Title,Y
Config_CustomField2_Title,Y
Config_CustomField3_Title,Y
Config_CustomField4_Title,Y
Config_CustomField5_Title,Y
Config_DataVault_Key,Y
Config_DiscountedPricing_Level1_Name,Y
Config_DiscountedPricing_Level2_Name,Y
Config_DiscountedPricing_Level3_Name,Y
Config_DiscountedPricing_Level4_Name,Y
Config_DiscountedPricing_Level5_Name,Y
Config_DomainFull,Y
Config_DomainName,Y
Config_Donations_Enable_Recurring,Y
Config_Ebay_CurrencyCode,Y
Config_Ebay_CurrencySymbol,Y
Config_Ebay_GrantExpiration,Y
Config_Ebay_SiteCode,Y
Config_Ebay_SiteCodeDisplay,Y
Config_Ebay_StoreId,Y
Config_Ebay_StoreStatus,Y
Config_EmailAddress_AffiliateNotification,Y
Config_EmailAddress_Billing,Y
Config_EmailAddress_From,Y
Config_EmailAddress_OrderNotification1,Y
Config_EmailAddress_OrderNotification2,Y
Config_EmailServerComponent,Y
Config_Enable_Back_In_Stock_Requests,Y
Config_Enable_Collect_Cart_Contact_Info,Y
Config_Enable_Credit_Card_Issue_Date,Y
Config_Enable_Credit_Card_Issue_Number,Y
Config_Enable_EDI,Y
Config_Enable_IP_Address_Security_Rules_On_Frontend,Y
Config_Enable_Parent_Categories_Display_Products_From_Subcategories,Y
Config_Enable_Payments_CheckingAccountType,Y
Config_Enable_Payments_CheckNumber,Y
Config_Enable_Payments_CVV2,Y
Config_Enable_Share_Button,Y
Config_Enable_Share_Button_Username,Y
Config_Enable_ShipAddresss_Validation,Y
Config_EnableAccessoriesQuickAdd,Y
Config_EnableAllowBackOrders,Y
Config_EnableAnonymousCheckout_Forced,Y
Config_EnableAnonymousCheckout_Optional,Y
Config_EnableBullets_On_Features_TechSpecs,Y
Config_EnableCategoryTree_DetailsPage,Y
Config_EnableCDN,Y
Config_EnableCoupons,Y
Config_EnableCustomerReviews,Y
Config_EnableCustomerReviewsCategoryPages,Y
Config_EnableCustomerReviewsFeaturedProducts,Y
Config_EnableCustomerReviewsProductSearch,Y
Config_EnableDifferentShipToAddress,Y
Config_EnableDisplayAvailability,Y
Config_EnableDisplayCartTax,Y
Config_EnableDisplayDiscountBtn,Y
Config_EnableDisplayDiscountedPricingLevels,Y
Config_EnableDisplayKits_ProductDetailsPage,Y
Config_EnableDisplayPricing_On_POs,Y
Config_EnableDisplayProductCode,Y
Config_EnableDisplaySetupFee,Y
Config_EnableDisplayStockStatus,Y
Config_EnableEmailAFriend,Y
Config_EnableGiftWrap,Y
Config_EnableHideProduct,Y
Config_EnableImageZoom,Y
Config_EnableLiveStockStatus,Y
Config_EnableMobileCheckout,Y
Config_EnableOnePageCheckout,Y
Config_EnableOrder_Comments,Y
Config_EnablePhotosPopup,Y
Config_EnableProductAccessories,Y
Config_EnableProductQuantityBox,Y
Config_EnableRecentHistory,Y
Config_EnableRedirectNetToDefault,Y
Config_EnableRelatedProducts,Y
Config_EnableSendEmailRecurring,Y
Config_EnableSendEmailRecurring_Declined,Y
Config_EnableSEOFriendly,Y
Config_EnableSEOFriendly_Hyphens,Y
Config_EnableShowYouSaveAmount,Y
Config_EnableSimilarCategoriesList,Y
Config_EnableSoftAddToCart,Y
Config_EnableTaxOnShipping,Y
Config_EnableTemporaryProducts,Y
Config_EnableUpdatePriceBtn,Y
Config_EnableWishList,Y
Config_EncryptionPassword,Y
Config_ExtraShippingCost,Y
Config_ExtraShippingCost_Percent,Y
Config_ExtraShippingWeight,Y
Config_FacebookAccountName,Y
Config_FacebookDefaultToken,Y
Config_FacebookMasterToken,Y
Config_FreeShippingQualifyPrice,Y
Config_FreeShipWhenZeroCost,Y
Config_FullSecureStoreURL,Y
Config_FullStoreURL,Y
Config_HomePageURL,Y
Config_IP_Internal,Y
Config_jmenu_Graphic_Height,Y
Config_jmenu_Graphic_Width,Y
Config_jmenu_Menu_Width,Y
Config_jmenu_SubGraphic_Height,Y
Config_jmenu_SubGraphic_Width,Y
Config_jmenu_SubMenu_Width,Y
Config_Language,Y
Config_Max_Orders_Per_Day_Per_IP,Y
Config_MaxAddressesToDisplay,Y
Config_MaximumTotalOrderCost,Y
Config_MinimumTotalOrderCost,Y
Config_News1_Title,Y
Config_News10_Title,Y
Config_News11_Title,Y
Config_News12_Title,Y
Config_News13_Title,Y
Config_News14_Title,Y
Config_News15_Title,Y
Config_News16_Title,Y
Config_News17_Title,Y
Config_News18_Title,Y
Config_News19_Title,Y
Config_News2_Title,Y
Config_News20_Title,Y
Config_News3_Title,Y
Config_News4_Title,Y
Config_News5_Title,Y
Config_News6_Title,Y
Config_News7_Title,Y
Config_News8_Title,Y
Config_News9_Title,Y
Config_OrderDetail_Key,Y
Config_OrderDetailID,Y
Config_OrderID,Y
Config_OriginCity,Y
Config_OriginCountry,Y
Config_OriginPostalCode,Y
Config_OriginState,Y
Config_PaymentGateway_Checks_Login1,Y
Config_PaymentGateway_Checks_Login2,Y
Config_PaymentGateway_Checks_Name,Y
Config_PaymentGateway_Checks_Password,Y
Config_PaymentGateway_CreditCards_Country,Y
Config_PaymentGateway_CreditCards_CountryCode,Y
Config_PaymentGateway_CreditCards_CurrencyCode,Y
Config_PaymentGateway_CreditCards_Login1,Y
Config_PaymentGateway_CreditCards_Login2,Y
Config_PaymentGateway_CreditCards_Name,Y
Config_PaymentGateway_CreditCards_Password,Y
Config_PaymentGateway_Currency,Y
Config_PaymentGateway_Language,Y
Config_PaymentGateways_AuthMode,Y
Config_PaymentInfo_Delete_Event,Y
Config_PaymentInfo_Max_Days_To_Keep,Y
Config_PercentLevel1,Y
Config_PercentLevel2,Y
Config_PercentLevel3,Y
Config_PercentLevel4,Y
Config_PercentLevel5,Y
Config_PhotoSize0,Y
Config_PhotoSize0_Axis,Y
Config_PhotoSize1,Y
Config_PhotoSize1_Axis,Y
Config_PhotoSize2,Y
Config_PhotoSize2_Axis,Y
Config_PhotoSize2T,Y
Config_PhotoSize2T_Axis,Y
Config_PhotoSizeS,Y
Config_PhotoSizeS_Axis,Y
Config_POP3_Bounced_Password,Y
Config_POP3_Bounced_Server,Y
Config_POP3_Bounced_Username,Y
Config_ProductImageMaxUploadSize,Y
Config_ProductPage_Position_RelatedProductsAndAccessories,Y
Config_ProductPhotosFolder,Y
Config_QuickBooks_Include_Shipped_Orders_Only,Y
Config_QuickBooks_Include_with_Orders_Customer_Info,Y
Config_QuickBooks_Include_with_Orders_Product_Info,Y
Config_QuickBooks_Map_SPL_Shipping_INVITEM,Y
Config_QuickBooks_Map_TRNSTYPE,Y
Config_QuickBooks_Order_Date_End_Blank_For_All,Y
Config_RequireClickOnAltImageForDisplay,Y
Config_RMA_DaysGivenToReturn,Y
Config_SearchResultsColumns,Y
Config_SearchResultsRows,Y
Config_Secure_Checkout_Graphic,Y
Config_SEO_EnableRobotsMeta,Y
Config_ServerTrustDomain,Y
